objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,identifier,identifier2,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
lcc_exordio,,Exordio de <i>El lazarillo de ciegos caminantes</i>,"El lazarillo de ciegos caminantes: desde Buenos-Ayres hasta Lima con sus itinerarios segun la mas puntual observacion, con algunas noticias utiles á los nuevos comerciantes que tratan en mulas y otras historias ",Alonso Carrió de la Vandera,Imprenta de la Rovada,1773,"El lazarillo de ciegos caminantes: desde Buenos-Ayres, hasta Lima con sus itinerarios segun la mas puntual observacion, con algunas noticias utiles á los nuevos comerciantes que tratan en mulas y otras historias; sacado de las memorias que hizo don Alonso Carriò de la Vandera en este dilatado viage...",prosa; impreso,Lima,-1.204.318,-7.702.824,Biblioteca Nacional (España),sig. R/22795,,16r-19r,,,español,transcripciones,,/objects/small/lcc_16r.jpg,/objects/thumbs/lcc_16r.jpg,,/objects/transcripciones/llc_exordio.html
lcc_f16r,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_16r.jpg,/objects/small/lcc_16r.jpg,/objects/thumbs/lcc_16r.jpg,,
lcc_f16v,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_16v.jpg,/objects/small/lcc_16v.jpg,/objects/thumbs/lcc_16v.jpg,,
lcc_f17r,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_17r.jpg,/objects/small/lcc_17r.jpg,/objects/thumbs/lcc_17r.jpg,,
lcc_f17v,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_17v.jpg,/objects/small/lcc_17v.jpg,/objects/thumbs/lcc_17v.jpg,,
lcc_f18r,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_18r.jpg,/objects/small/lcc_18r.jpg,/objects/thumbs/lcc_18r.jpg,,
lcc_f18v,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_18v.jpg,/objects/small/lcc_18v.jpg,/objects/thumbs/lcc_18v.jpg,,
lcc_f19r,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_19r.jpg,/objects/small/lcc_19r.jpg,/objects/thumbs/lcc_19r.jpg,,
lcc_cordoba,,Fragmento de El lazarillo de ciegos caminantes - Jurisdicción de Cordova,"El lazarillo de ciegos caminantes: desde Buenos-Ayres hasta Lima con sus itinerarios segun la mas puntual observacion, con algunas noticias utiles á los nuevos comerciantes que tratan en mulas y otras historias ",Alonso Carrió de la Vandera,Imprenta de la Rovada,1773,"El siguiente capítulo, “Jurisdicción de Córdova”, pertenece a la crónica de Lazarillo de Ciegos Caminantes (1773). Se relata un viaje por distintas postas del Camino Real proporcionando una descripción de la vida colonial hacia finales del siglo XVIII. Algunos de los lugares principales que se mencionan son: Río Tercero, el Saladillo de Ruy Diaz, Fraile Muerto, Río Segundo, Río Primero, Sinsacate, Las Peñas y San José de la Dormida. ",Córdoba; Viaje; Crónica; Virreinato; Siglo XVIII; Alonso Carrió de la Vandera,Lima,-1.204.318,-7.702.824,Biblioteca Nacional (España),sig. R/22795,,g3-i6,,,español,transcripciones,/objects/lcc_G3.jpg,/objects/small/lcc_G3.jpg,/objects/thumbs/lcc_G3.jpg,Digitalización del folio G3 del LCC,/objects/transcripciones/lcc_cordoba.html
lcc_G3,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_G3.jpg,/objects/small/lcc_G3.jpg,/objects/thumbs/lcc_G3.jpg,Digitalización del folio G3 del LCC,
lcc_G4,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_G4.jpg,/objects/small/lcc_G4.jpg,/objects/thumbs/lcc_G4.jpg,Digitalización del folio G4 del LCC,
lcc_G5,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_G5.jpg,/objects/small/lcc_G5.jpg,/objects/thumbs/lcc_G5.jpg,Digitalización del folio G5 del LCC,
lcc_G6,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_G6.jpg,/objects/small/lcc_G6.jpg,/objects/thumbs/lcc_G6.jpg,Digitalización del folio G6 del LCC,
lcc_G7,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_G7.jpg,/objects/small/lcc_G7.jpg,/objects/thumbs/lcc_G7.jpg,Digitalización del folio G7 del LCC,
